id	uid	created_at	Core Status
52886491	txn_c5b2cd811534064a2d971bfc9450ea8fa8161eab4f0b088d8514fb082556e359	2021-07-06 02:46:18	SUCCESS
52886495	txn_1d3d0bb378dff1a344973293ae6891025a079bd10dfd60b82705e56c7d49f4a7	2021-07-06 02:46:22	SUCCESS
52886534	txn_669f400fe0563c81851421bfa126807cec484829f25d85e3ae5b7ae0582ef8df	2021-07-06 02:47:24	SUCCESS
52886545	txn_db1b9669cccf1a7a80b71dcfe85b70a4b19efe428af1e3e19c529ff6f4a23d13	2021-07-06 02:47:53	SUCCESS
52886570	txn_246d0b886ff2c632db6a1d98c797d0c3711baf25fef024e48e06b8a9b2f0250a	2021-07-06 02:48:39	SUCCESS
52886576	txn_389a0669fa3a84166014aeae648f153f9e7b0882328a44be7be63be1eee00a96	2021-07-06 02:48:47	SUCCESS
52886582	txn_5d65caafa5a12bbb416ba6c2972522fc8e490eec36502b11116fb564aea95dd0	2021-07-06 02:49:05	FAILURE
52886593	txn_8b68934591ce061c2f2afd78ba6164ac2e11550ca1da9992e61cf9f5de892af8	2021-07-06 02:49:39	SUCCESS
52886607	txn_9bc02c4771f981ce8b24c33b7a8288f63ebf1ed230f76d6b3d80c3f5eeffc56c	2021-07-06 02:50:06	SUCCESS
52886626	txn_45da24127897edbcf1071fc88e271d839827742a3bc89a3c1aca7bac458fe325	2021-07-06 02:50:43	SUCCESS
52886638	txn_05189bed8aa99fd02e2231be13bec3bb199c8f19e5938300db7d0777e1c66b6b	2021-07-06 02:51:09	SUCCESS
52886669	txn_9b82dabad6cf24f619fc2ae50860f3fd0092324195879fb5596893eb23be4ae5	2021-07-06 02:52:00	SUCCESS
52886674	txn_cf903946234cc189bd3e6fba45155e347fa96c434a5803a9a80f453beca5463d	2021-07-06 02:52:08	SUCCESS
52886678	txn_9a4a9b5e45be83792465a5b0211e9204368d63233a29f42022df99051544a3da	2021-07-06 02:52:18	SUCCESS
52886686	txn_5c07d7495420eb6cec3ec42cfc8995287c0728d5eec99cb6d1b6c0a85ec9d6eb	2021-07-06 02:52:42	SUCCESS
